GENOME	CLUSTER	SUBCLUSTER
Avatar	None	None
AvatarAhPeg	A	A4
Avazak	DJ	None
Avenger	None	None
Average	None	None
AverageBlob	None	None
AverageJoe	None	None
AverageJoe167	None	None
Avery	None	None
Avett	None	None
AvGardian	EB	None
Avianocculus	None	None
Avicenna	None	None
Avja	None	None
Avle17	A	A4
Avocado	G	G2
Avocadoman	EB	None
AvocadoToast	None	None
Avrafan	G	G1
Avril	None	None
AVStanley	None	None
Awan	None	None
Awapuhi	None	None
Awendaw	None	None
Awesome0	None	None
AwesomeBoba	None	None
Awesomejr	None	None
Awesomesauce	F	F1
Awkk	None	None
Awkwa	None	None
Awkward	None	None
AwkwardPenguin	None	None
AwMan	None	None
Awnatha7	None	None
Awol	None	None
AxeJC	BP	None
Axel	None	None
Axela	None	None
AxelR8	None	None
Axie10	None	None
AxiPup	EA	EA1
Axolotl	None	None
Axumite	DR	None
Axxo	None	None
Axym	CT	None
Ayana	None	None
AyanaLex	None	None
Ayanfe	None	None
Ayantee	None	None
Ayashe	None	None
AyeAye	None	None
AyeBee	None	None
AyJay1824	B	B1
Aykhil	None	None
Ayla	None	None
Ayotoya	DI	None
AYYpapi	None	None
Azalea	None	None
Azalea20	None	None
Azar	None	None
Azarath	B	None
Azathoth	AN	None
Azaula98	CZ	CZ1
Azel54	None	None
Azenavy	None	None
Azingabay	None	None
Aziraphale	None	None
Aziz	M	M2
Azizam	EE	None
Azrael14	None	None
Azrael17	None	None
Aztec	EE	None
Azul	None	None
Azula	CV	None
Azulakin	None	None
Azura	None	None
Azure	None	None
Azurill	None	None
AzzaB	None	None
B22	BW	None
B2max	None	None
B3	BV	None
Ba2Tran	None	None
Babacar	None	None
Babatunde	None	None
BabaYaga	None	None
Babbishfish	AU	AU1
Babby	None	None
Babe44	None	None
Babel	None	None
Babel4	None	None
Baberaham	None	None
BabeRuth	N	None
Babette	None	None
BaboJay	E	None
Babsiella	I	I1
BABullseye	A	A6
Baby	None	None
Baby16	A	A4
BabyBean	None	None
BabyBee	None	None
Babyblaze	None	None
BabyBlue	None	None
BabyBoo	None	None
BabyBug	None	None
BabyC	None	None
BabyCheeseTM	None	None
BabyDaisy	EB	None
BabyDotz	EG	None
BabyG	EE	None
BabyGirl	None	None
BabyGirlGarcia	None	None
BabyGoat	None	None
BabyGotBac	BG	None
BabyGroot	None	None
BabyGurl	None	None
BabyHowie	None	None
BabyHuey	None	None
BabyJ	None	None
BabyJoker	None	None
BabyK	None	None
Babyland	C	C1
Babylon	None	None
Babylonian	None	None
BabyMario	None	None
BabyNika	None	None
BabyP	None	None
BabyPhulcher	None	None
BabyPluto	None	None
BabyRalphie	None	None
BabyRay	A	A3
BabySal	None	None
BabyShark	None	None
Babyspinach	None	None
Babyswiss	None	None
BabytheFifth	F	F1
BabyTiger	None	None
BabyViolet	None	None
BabyVoiceCarti	None	None
BabyWaffle	None	None
BabyYoda	EB	None
Baca	None	None
Bacaria	None	None
Bacatac	None	None
Bacatanj2	None	None
Bacchus	None	None
Bach	None	None
Bachaco	None	None
Bachita	CQ	CQ1
Bachome	A	A11
BackInNotBlack	K	None
Backstroke	None	None
Backyard	None	None
Backyard1	None	None
BackyardAgain	C	C1
Backyardigan	A	A4
Backyardigan1	None	None
BackyardLiving	None	None
Backyardterio	None	None
Bacman	None	None
Bacon	A	A4
BaconJack	A	A1
BacPac	None	None
Bacrosam	None	None
BactHASRI	None	None
Bactina	None	None
Bactobuster	A	A2
Bactronardo	None	None
Bacx	None	None
BadAgartude	C	C1
Badbeach	None	None
Badboyz	None	None
BadBunny	None	None
Badday	None	None
Baddon	DE	DE1
BaddyJean	None	None
Badfish	B	B1
Badgalriri	None	None
Badger	A	A4
Badguy	None	None
BadHombre	None	None
Badluck	None	None
BadStone	E	None
Badulia	GE	None
BadWolf	None	None
Baee	B	B5
Baegur	None	None
Baehexic	A	A2
Baelfire	None	None
BaenaC	K	None
Baeriearaz	None	None
Baeta	None	None
Baez	None	None
Bafana	None	None
Baftija0801	None	None
Bagasao	None	None
Bagel	None	None
Bagel25	None	None
BagelToast	None	None
Baggins	None	None
BaghaKamala	K	K1
Bagheera	None	None
Baguette	None	None
Bahamut	None	None
Bahari	None	None
Bahroo	None	None
BaiBell	None	None
Bailan	None	None
Bailcon	K	None
Bailey	None	None
Bailey3	None	None
BaileyBean	None	None
BaileyBlu	Singleton	None
BaileyIII	None	None
BaileyP	None	None
Bails	None	None
Baines	EA	EA1
BaiyeeNdang	None	None
Baizhu	None	None
Baja	None	None
Bajibbetts	None	None
BAKA	J	None
Baker	None	None
Bakery	DC	DC1
Bakross	None	None
BakterODU	None	None
Balakay	None	None
Balboa	None	None
BalconyTom	None	None
Balder	None	None
Baldwin	None	None
Balerion	None	None
Bali	None	None
Baljeet	None	None
Ballan	None	None
Ballena	None	None
Baller12	None	None
Ballerina	None	None
Ballin	None	None
BallIsLife	None	None
Balloon	None	None
Balloonparty	None	None
Balloony	None	None
Balmer	None	None
Baloo	B	B3
Baloo4	None	None
Balsa	EA	EA1
Baltar	None	None
BALunt2009	None	None
Balyeet	None	None
BamBam	None	None
BamBam12	None	None
Bambi	None	None
Bambino	None	None
Bamboo	None	None
Bamboozle	None	None
Bammer	None	None
Bammy	None	None
Banana	None	None
BananaBean	None	None
BananaFence	C	C1
Bananafish	B	B2
Bananah	None	None
Bananapage	None	None
Bananapancakes	None	None
Bananas2	None	None
Bananigans	None	None
Bandasflo	None	None
Bandicoot	None	None
Bandik	EA	EA1
Bandit	None	None
Bandits	None	None
Bandsmeg13	None	None
Bandy	None	None
Bandz	None	None
Bane	None	None
Bane1	B	B4
Bane2	B	B4
BangBang	None	None
Bangla1971	C	C1
BangNhom	A	A4
Bangtan	None	None
Banjo	B	B1
Banks	None	None
Banner	None	None
Banquo	CU	CU1
Banshee	None	None
Bantam	DL	None
BantamPrime	None	None
Bao85	None	None
BaoTran	None	None
BaraBhai	None	None
Barachiel	None	None
Barack	None	None
Barako	B	B1
Baratheon	None	None
Barb	DC	DC1
Barbale	None	None
